Date,temperature_2m_max,temperature_2m_min,dbt,wbt,relative_humidity_2m_mean,wind_speed_10m_max,cloud_cover_mean,shortwave_radiation_sum,surface_pressure_mean,et0_fao_evapotranspiration,precipitation_sum,vapour_pressure_deficit_max,sunshine_duration
1980-01-01,26.4,14.4,20.3,16.3,70,9.4,2,16.39,1011.8,3.28,0.0,1.91,36505.31
1980-01-02,26.2,16.8,20.5,18.5,85,9.8,53,10.88,1011.9,2.12,5.3,1.43,36000.0
1980-01-03,21.4,17.6,19.4,18.1,89,10.0,69,5.19,1013.2,1.09,2.7,0.55,9535.44
1980-01-04,24.0,16.6,19.4,15.9,73,14.0,33,8.68,1015.1,2.23,0.0,1.59,23702.52
1980-01-05,23.2,14.5,18.8,14.3,64,14.4,42,8.72,1015.3,2.37,0.0,1.63,28732.26
1980-01-06,22.7,13.9,17.8,13.6,66,12.6,35,12.14,1015.7,2.71,0.0,1.55,36682.3
1980-01-07,23.1,11.6,16.6,12.0,63,15.5,0,17.52,1016.7,3.54,0.0,1.9,37762.7
1980-01-08,22.8,9.1,15.8,11.5,65,11.8,0,17.76,1015.7,3.4,0.0,1.74,37739.84
1980-01-09,23.4,9.5,16.3,11.9,65,12.4,0,17.8,1014.1,3.47,0.0,1.87,37991.38
1980-01-10,23.4,9.6,16.5,11.7,62,10.0,0,17.82,1012.4,3.46,0.0,1.95,38107.26
1980-01-11,24.8,9.6,17.7,12.2,58,9.7,0,17.88,1013.0,3.54,0.0,2.26,38149.66
1980-01-12,25.5,10.5,18.6,13.3,60,6.8,0,17.51,1014.6,3.24,0.0,2.21,38191.89
1980-01-13,26.3,13.9,20.2,15.2,62,6.5,4,17.05,1014.5,3.24,0.0,2.05,38166.39
1980-01-14,26.7,14.4,21.0,16.4,66,7.2,4,16.86,1015.0,3.25,0.0,1.96,38140.6
1980-01-15,26.9,14.9,21.1,17.1,71,8.1,13,15.61,1015.3,3.11,0.0,1.96,38114.65
1980-01-16,26.8,15.4,21.1,17.2,71,7.2,27,15.12,1014.8,2.99,0.0,1.8,38088.52
1980-01-17,27.3,16.4,21.7,19.2,82,7.6,43,14.65,1014.4,2.8,0.5,1.45,37517.79
1980-01-18,26.5,18.3,22.1,19.9,84,6.4,36,12.97,1015.4,2.47,0.6,1.21,38307.89
1980-01-19,27.5,18.3,22.5,20.0,82,6.5,45,13.98,1015.9,2.74,0.2,1.5,31081.24
1980-01-20,28.1,18.1,22.6,18.9,74,8.7,27,15.86,1015.1,3.36,0.1,2.14,34938.71
1980-01-21,27.5,16.0,21.8,17.1,66,9.4,17,17.37,1014.7,3.6,0.0,2.28,38581.1
1980-01-22,27.9,15.2,21.5,16.6,65,8.5,22,17.41,1013.4,3.58,0.0,2.56,38055.13
1980-01-23,25.6,16.6,20.6,18.4,83,7.9,35,11.58,1011.2,2.29,2.1,1.29,36826.59
1980-01-24,26.4,15.7,20.5,15.5,63,10.8,16,17.85,1012.1,3.87,0.0,2.4,38705.05
1980-01-25,25.9,12.3,19.1,13.4,58,10.3,0,18.93,1013.7,4.02,0.0,2.31,38745.75
1980-01-26,26.9,11.7,19.7,14.8,64,9.2,0,18.8,1011.3,3.71,0.0,2.34,38786.47
1980-01-27,28.8,15.4,21.6,17.8,73,11.8,14,17.34,1008.7,3.63,0.0,2.56,38827.16
1980-01-28,30.0,18.4,23.2,18.9,71,11.2,6,17.69,1006.4,3.64,0.0,2.98,38867.79
1980-01-29,28.4,17.9,22.7,17.6,65,13.7,23,16.2,1006.5,3.84,0.0,2.65,38908.31
1980-01-30,25.2,14.4,19.5,12.1,45,13.7,0,19.7,1010.0,4.67,0.0,2.5,38948.7
1980-01-31,25.4,10.3,18.1,11.8,53,10.1,0,19.76,1012.0,3.98,0.0,2.44,38988.89
1980-02-01,26.4,11.1,18.7,12.6,56,9.3,0,19.6,1012.3,4.02,0.0,2.64,39028.86
1980-02-02,26.9,11.8,20.1,15.7,68,9.1,13,17.3,1012.3,3.54,0.0,2.11,39068.58
